job_title,company_name,work_genre,area,income,description,url
セラピスト◆週3日・1日5h～OK！駅徒歩3分/未経験でも安心の研修制度/自身の健康にも活かせる！,Re.Ra.Ku 本郷三丁目店,セラピスト,東京都文京区,"時給 1,125円 ～ 1,300円","【仕事概要】

肩甲骨ストレッチを通じ、お客様のお疲れを癒すだけでなく、健康な生活を送れるよう、お客様のお体を考え、健康的な体づくりのお手伝いをする「専属ボディープランナー」として仕事をしています。



【具体的な仕事内容】

〇リラクゼーションセラピストとして施術する

〇年間通して行われるキャンペーン準備

〇店内清掃等　

お店運営に関わる事を同僚セラピストと一緒に取り組んで頂きます。



【求職者が得られるメリット】

〇大人気であるRe.Ra.Kuの様々な施術方法を無料で学べる

〇当店舗は2013年11月に開店、それ以降日々お店は進化をしており、お店を作っていくというやりがいのある仕事です。



日々お店が成長しているからこそ、人として他者から見ても魅力ある人財として育つ事が出来る環境は整っていると自負しております。



【同僚について】

〇明朗活発なスタッフが多いです。

〇モチベーションが高く、お店愛・お客様愛に満ち溢れているスタッフです。

〇何事に対してもトライ精神が店舗の雰囲気としてあります。

〇男性:女性はほぼ半数にて、20代～50代まで幅広い年齢層で構成されています。

〇前職は飲食業や教育業、SE等　美容業界ではない方が大半です。

〇過去には大学生のアルバイトの方もおりました。



【入社後の流れ】

経験者・未経験者問わず、お台場にあるリラクカレッジで研修を受けて頂きます。

早い方であれば2週間程度、だいたい3週間前後では卒業ができます。

研修期間中も時給換算にはなりますが給与が出ます。



研修終了後は、お店で実地研修を受けて勤務開始という形になります。

入社後も先輩セラピストがサポート致しますので安心して下さい。



リラクカレッジは引き続き通う事が出来るので未経験でも安心して働ける環境は整っています。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8521262
アルバイト、キッチンスタッフ、パティシエ,SHE LOVES CREPE,製造販売,神奈川県横須賀市,"時給 1,112円 ～ 1,200円",やさしいお店を目指し 日々お客様に喜んで頂けるスタッフになりませんか？,https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/2577834
アルバイト、キッチンスタッフ、調理師、シェフ、パティシエ,SHE LOVES CREPE,製造販売,神奈川県横須賀市,"時給 1,112円 ～ 1,200円",やさしいお店を目指し 日々お客様に喜んで頂けるスタッフになりませんか？,https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/500883
飲食店,SHE LOVES CREPE,販売スタッフ,神奈川県横須賀市,"時給 1,112円 ～ 1,200円",クレープ・タピオカ製造販売,https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/258133
即日働きたい方優先！若手活躍中！『簡単』倉庫管理、軽作業／未経験OK！,SocialQuality,軽作業,東京都日野市,月給 31万円 ～ 50万円,"【業務内容】男女比率6：4

主に、倉庫内のピッキング・梱包等の軽作業、通販サイトで注文された商品を扱います。



幅広い年齢層の方が働いています！



新人スタッフの指導、既存スタッフのサポート、点呼、出欠確認、日報作成、シフトの管理、会議の参加が主なお仕事になります。



入社後、まずは現場作業を経験して頂き、半年を目安にスタッフ管理業務へと移行します。



「人と関わることが好き」「面倒見がいいと言われる」そんな方に向いているお仕事です！



お気軽にご応募をお待ちしています。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8695370
サービススタッフ、普通運転免許　2種・１種,S・S代行サービス,運転代行,埼玉県三郷市,"日給 3,500円 ～ 1万円","運転代行業お客様を目的地に持ち主やご依頼者様に代わり運転お運びするお仕事です

コロナ終息に向け繁盛期待して今から準備現在も人員不足につき募集いたします。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/2624014
サービススタッフ、普通運転免許　2種（お客様車両）・１種（随伴車両）,S・S代行サービス,運転代行お客様随伴者車両担当,埼玉県三郷市,"日給 5,000円 ～","運転代行業お客様を目的地に持ち主やご依頼者様に代わり運転お運びするお仕事です

コロナ終息に向け繁盛復帰期待して今から準備現在も人員不足につき募集いたします。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/5209208
サービススタッフ、普通運転免許　2種・１種,S・S代行サービス,運転代行,埼玉県三郷市,"日給 3,500円 ～ 1万円","運転代行業お客様を目的地に持ち主やご依頼者様に代わり運転お運びするお仕事です

コロナ終息に向け繁盛期待して今から準備現在も人員不足につき募集いたします。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/1172143
【一生使える技術身につけてみませんか？】リラクゼーションセラピスト募集,asian relaxation villa 長岡店,セラピスト,新潟県長岡市,"月給 20万円 ～ 33万5,000円","ボディケア・ボディトリートメント等

施術を中心としたサロン内業務全般をお任せ致します。リラクゼーションセラピストとしてあなたの手の温もり、身に付けていく技術や知識により、お客様に健康管理・美容管理のお提供をします。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/566582
【足場鳶工】経験技術者‼チョイカジ!!鳶会社の作業！,かんたJAPAN株式会社,鳶職,東京都あきる野市,"日給 1万5,000円 ～ 2万8,000円","あなたの仕事が褒められたことある方、褒められたことが無い方は当社へ





建設現場で足場を組み、鉄骨を組み合わせるなどの技術職です。



経験者も是非募集しています。

学歴がなくても頑張れば技術も身に付きますし、

お給料もちゃんと見合った金額をもらうことができます！



最初は誰しもが未経験のことだらけだと思います。

挑戦や努力する気持ち、向上心があれば、

きちんと一人前になるまで全力でサポートいたします！！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7745726
経験技術者OK‼チョイカジOK!!未経験OK!!鳶会社の作業！,かんたJAPAN株式会社,足場社員,東京都あきる野市,"日給 1万4,500円 ～ 2万8,000円","あなたの仕事が褒められたことある方、褒められたことが無い方は当社へ



建設現場で足場を組み、鉄骨を組み合わせるなどの技術職です。



学歴がなくても頑張れば技術も身に付きますし、

お給料もちゃんと見合った金額をもらうことができます！



最初は誰しもが未経験のことだらけだと思います。

挑戦や努力する気持ち、向上心があれば、

きちんと一人前になるまで全力でサポートいたします！！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7212542
経験技術者OK‼チョイカジOK!!鳶会社の作業！,かんたJAPAN株式会社,足場鳶スタッフ,東京都八王子市,"日給 1万4,000円 ～ 2万8,000円","あなたの仕事が褒められたことある方、褒められたことが無い方は当社へ



建設現場で足場を組み、鉄骨を組み合わせるなどの技術職です。



学歴がなくても頑張れば技術も身に付きますし、もちろん経験者も光栄、

お給料もちゃんと見合った金額をもらうことができます！



最初は誰しもが未経験のことだらけだと思います。

挑戦や努力する気持ち、向上心があれば、

きちんと一人前になるまで全力でサポートいたします！！",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7089197
ホールスタッフ、サービススタッフ（フード）,とんかつぼたん,ホールスタッフ,埼玉県東松山市上押垂,"時給 1,050円 ～ 1,200円","アットホームな個人経営のとんかつ屋さんです。

皆さんで楽しくお仕事ができるような職場です

お気軽にお問合せ下さい。

またtwitterやfacebook、InstagramなどSNSも活用、埼玉県の経営革新事業計画や補助金事業など経営事業もトライしている珍しい飲食店です。夢や目標達成の方法などの勉強や経営のお勉強もできます。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7487771
時計・宝飾品リペアコンシェルジュ・職人,はらじゅく時計宝石修理研究所,時計修理職人,東京都渋谷区,"月給 25万6,000円 ～ 40万円","ご来店頂いたお客様の時計やジュエリーの修理を受付・リペアを行う業務がメインとなります。

店頭では、時計の電池交換、クイック修理、オーバーホールを行っています。

即戦力の方は優遇いたします。",https://en-gage.net/user/search/?area=0&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/7500894
