job_title,company_name,work_genre,area,income,description,url,job_type
完全土日祝休み！医療用器具の製造,キャナルベネフィッツ,医療用器具の製造,"('愛媛県四国中央市',)","('月給 30万円 ～ 36万円',)","病院で使われるガイドワイヤーの製造のお仕事！



◇仕事内容◇

✔チューブ被覆

✔溶着

✔形状加工



ご応募お待ちしております。",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6606916,技術系（医薬、化学、素材、食品）
【急募】バイオベンチャー企業での動物実験補助,株式会社BCラボ,核酸医薬の研究職,"('大阪府吹田市',)","('月給 18万5,000円 ～ 30万円',)","■核酸医薬の研究にて薬の有効性、安全性を確かめる為の動物実験

・マウスに腹腔内投与、皮下投与にてサンプルを投与

・解剖にて臓器のサンプルを採取

・リアルタイムPCRにて解析",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8033912,技術系（医薬、化学、素材、食品）
履歴書不要現金支給OK！アルミニウム缶の製造業務,株式会社ノウイング　製造部,製造スタッフ,"('熊本県熊本市中央区',)","('月給 32万円 ～ 36万円',)","～～～～～仕事内容～～～～～

アルミ缶の製造ラインでのお仕事です。



アルミ缶はプレス機で成形し洗浄、

外面の印刷塗装・内面塗装を施し、

普段皆さんが見ている

あの形になります。



たくさんの工程があるので、

適性にあった

ポジションに就くことが可能です！



学歴、スキル、経験問いません。

今活躍している仲間も未経験から

スタートした⼈ばかりです！



少しでも気になった方は、ぜひご応募ください！",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/8057575,技術系（医薬、化学、素材、食品）
年間休日120日以上！金属粉の製造,株式会社Insight ACE,金属粉の製造,"('鳥取県八頭郡八頭町',)","('月給 30万円 ～ 36万円',)","工場内でのシンプルな

金属粉の製造です。



《作業工程》

✔金属粉を混錬 原料となる

　金属粉末を配合し混合します。

✔金属粉を成形します。

✔焼結します。



ご応募お待ちしております。",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6711383,技術系（医薬、化学、素材、食品）
交通費支給あり！アルミ圧延品の製造,株式会社Insight ACE,アルミ圧延品の製造,"('香川県善通寺市',)","('月給 29万円 ～ 35万円',)","アルミ製品の製造の作業



・熱間圧延工程

・冷間圧延工程

・箔圧延工程

・スリッター工程

・設備保全（電気）



ご応募お待ちしております。",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6620043,技術系（医薬、化学、素材、食品）
完全土日祝休み！未経験OK！レトルト食品の製造,株式会社MAT製造部,レトルト食品の製造,"('高知県南国市',)","('月給 31万円 ～ 37万円',)","(1)原料入荷

(2)原料受入検査

→入荷した原料が、規格に合格しているかどうかを検査します。         

(3)前処理

→必要に応じて、原料を水洗いや切断、前処理を行います。         

(4)調合・調理",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6783781,技術系（医薬、化学、素材、食品）
【かんたん作業で高収入】ロボット部品の製造！重量物なし！未経験の男女・幅広い年齢層が活躍中！,シャインラボ,製造,"('三重県津市',)","('月給 27万円 ～ 35万円',)","ロボット部品の製造工場での勤務





稼ぎたいけど自動車関係は・・・とお考えの方におすすめ！

精密部品の製造や検査がメインです。



未経験でも安心の研修制度完備

ご入社後、１つ１つ丁寧に教えます。



職場環境も整っていて働きやすく

工場内には綺麗な食堂もあり、

豊富なメニューをお安く食べられ味もとても美味しいです



交通費は全額支給、駐車場完備でマイカーOK！

寮の完備もあり、家具家電も付いている上に家賃は無料！



従業員の方の働きやすいを求め日々精進しております。







●作業内容

・組立

ドライバーなど一般的にも目にする機会のある工具を使い

部品同士の組み立てや組み付けを行う



・検品

作業台で黙々と製品のチェックをしていただきます。



・検査

測定用の器具を使い品質管理のための検査をします。

むずかしい作業はないのでご安心ください。",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6872569,技術系（医薬、化学、素材、食品）
ワンルーム寮あり！ヨーグルトの製造スタッフ,株式会社NRS,製造,"('石川県白山市',)","('月給 30万2,000円 ～ 34万7,000円',)","ヨーグルトの製造に関わる業務になります。



作業自体はマニュアルに沿って行っていただくため、未経験の方でもしっかりと覚えていただける環境となっております。

機械化されているものも多いので、力作業もありません！



■作業内容

ヨーグルトの原材料を混合・投入

製品の検査

製造機器の洗浄",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6622444,技術系（医薬、化学、素材、食品）
未経験OK！年間休日120日以上！ヨーグルトの製造スタッフ,株式会社NRS,製造,"('新潟県長岡市',)","('月給 30万2,000円 ～ 34万7,000円',)","ヨーグルトの製造に関わる業務になります。



作業自体はマニュアルに沿って行っていただくため、未経験の方でもしっかりと覚えていただける環境となっております。

機械化されているものも多いので、力作業もありません！



■作業内容

ヨーグルトの原材料を混合・投入

製品の検査

製造機器の洗浄",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6621977,技術系（医薬、化学、素材、食品）
未経験OK！オンライン面接可！乳製品の製造スタッフ,株式会社NRS,製造,"('福岡県うきは市',)","('月給 27万8,000円 ～ 31万5,000円',)","◆主な仕事内容

量販店（スーパーやコンビニ、飲食店など）に提供する乳製品の製造をお任せします。



機械オペレーションの作業がほとんどなので、性別問わず働いていただける環境です。

検品や梱包、機器の清掃などもございますので研修時にしっかりとお伝えさせていただきます！



◆現在活躍されている方の志望動機

・安定企業に腰を据えて働きたい！

・趣味の延長線上で本格的に仕事をしたい！

・収入を上げたい！

・モクモクと仕事に没頭したい！

・ひとり立ちしたい！

・環境を変えたい！",https://en-gage.net/user/search/?area=0&job=550000&distanceIndex=&p_t=258484&f_t=0&page=1#/desc/6344104,技術系（医薬、化学、素材、食品）
